CustomerKey,YearlyIncome,TotalSpend
11000,90000.00,8248.99
11001,60000.00,6383.88
11002,60000.00,8114.04
11003,70000.00,8139.29
11004,80000.00,8196.01
11005,70000.00,8121.33
11006,70000.00,8119.03
11007,60000.00,8211.00
11008,60000.00,8106.31
11009,70000.00,8091.33
11010,70000.00,8088.04
11011,60000.00,8133.04
11012,100000.00,81.26
11013,100000.00,113.96
11014,100000.00,138.45
11015,30000.00,2500.97
11016,30000.00,2332.28
11017,20000.00,6434.31
11018,30000.00,6533.28
11019,40000.00,882.70
11020,40000.00,2316.97
11021,40000.00,2371.96
11022,40000.00,2322.28
11023,40000.00,122.24
11024,60000.00,56.51
11025,10000.00,6576.80
11026,30000.00,6575.79
11027,30000.00,6591.57
11028,30000.00,6474.62
11029,30000.00,6565.29
11030,10000.00,6471.32
11031,20000.00,6478.60
11032,20000.00,6525.56
11033,20000.00,6495.29
11034,20000.00,6491.32
11035,10000.00,6451.31
11036,60000.00,2354.98
11037,40000.00,2374.23
11038,10000.00,6437.33
11039,30000.00,6636.58
11040,30000.00,2350.96
11041,60000.00,2380.47
11042,70000.00,3112.33
11043,60000.00,47.98
11044,20000.00,6515.30
11045,30000.00,114.96
11046,30000.00,6616.81
11047,30000.00,6582.33
11048,30000.00,6498.24
11049,40000.00,81.26
11050,30000.00,5007.30
11051,30000.00,123.95
11052,40000.00,8131.32
11053,60000.00,2329.98
11054,40000.00,8223.02
11055,40000.00,8168.01
11056,40000.00,8207.50
11057,70000.00,8088.04
11058,80000.00,8248.02
11059,80000.00,116.93
11060,80000.00,8153.02
11061,80000.00,8129.02
11062,40000.00,2351.96
11063,40000.00,2372.95
11064,40000.00,2304.98
11065,60000.00,202.57
11066,70000.00,81.26
11067,60000.00,105.75
11068,80000.00,113.36
11069,80000.00,8104.05
11070,80000.00,8165.55
11071,80000.00,110.23
11072,80000.00,8194.00
11073,70000.00,191.90
11074,70000.00,94.19
11075,80000.00,8068.03
11076,80000.00,8159.04
