MaritalStatus,Gender,YearlyIncome,TotalChildren,NumberChildrenAtHome,EnglishEducation,EnglishOccupation,HouseOwnerFlag,NumberCarsOwned,Bikebought,CustomerKey
M,M,90000,2,0,Bachelors,Professional,1,0,1,11000
S,M,60000,3,3,Bachelors,Professional,0,1,1,11001
M,M,60000,3,3,Bachelors,Professional,1,1,1,11002
S,F,70000,0,0,Bachelors,Professional,0,1,1,11003
S,F,80000,5,5,Bachelors,Professional,1,4,1,11004
S,M,70000,0,0,Bachelors,Professional,1,1,1,11005
S,F,70000,0,0,Bachelors,Professional,1,1,1,11006
M,M,60000,3,3,Bachelors,Professional,1,2,1,11007
S,F,60000,4,4,Bachelors,Professional,1,3,1,11008
S,M,70000,0,0,Bachelors,Professional,0,1,1,11009
S,F,70000,0,0,Bachelors,Professional,0,1,1,11010
M,M,60000,4,4,Bachelors,Professional,1,4,1,11011
M,F,100000,2,0,Bachelors,Management,1,2,0,11012
M,M,100000,2,0,Bachelors,Management,1,3,0,11013
S,F,100000,3,0,Bachelors,Management,0,3,0,11014
S,F,30000,0,0,Partial College,Skilled Manual,0,1,1,11015
M,M,30000,0,0,Partial College,Skilled Manual,1,1,1,11016
S,F,20000,4,0,High School,Skilled Manual,1,2,1,11017
S,M,30000,2,0,Partial College,Clerical,1,2,1,11018
S,M,40000,0,0,High School,Skilled Manual,0,2,0,11019
S,M,40000,0,0,High School,Skilled Manual,0,2,1,11020
S,F,40000,0,0,Partial College,Skilled Manual,0,1,1,11021
M,M,40000,0,0,Partial College,Skilled Manual,1,1,1,11022
M,M,40000,0,0,Partial College,Skilled Manual,1,1,0,11023
M,M,60000,0,0,Partial College,Skilled Manual,1,2,0,11024
M,M,10000,2,1,Partial High School,Clerical,1,2,1,11025
S,M,30000,2,0,Partial College,Clerical,0,2,1,11026
M,M,30000,2,0,Partial College,Clerical,1,2,1,11027
M,F,30000,2,0,Partial College,Clerical,1,2,1,11028
M,M,30000,2,0,Partial College,Clerical,1,2,1,11029
M,F,10000,2,1,Partial High School,Clerical,1,2,1,11030
M,F,20000,4,0,High School,Skilled Manual,1,2,1,11031
M,F,20000,4,0,High School,Skilled Manual,1,2,1,11032
M,M,20000,4,0,High School,Skilled Manual,1,2,1,11033
M,F,20000,4,0,High School,Skilled Manual,1,2,1,11034
M,F,10000,2,1,Partial High School,Clerical,1,2,1,11035
M,F,60000,0,0,Partial College,Skilled Manual,1,2,1,11036
S,F,40000,0,0,Partial High School,Clerical,0,2,1,11037
M,F,10000,2,1,Partial High School,Clerical,1,2,1,11038
M,M,30000,3,0,Partial College,Clerical,1,2,1,11039
M,M,30000,0,0,Partial College,Skilled Manual,1,2,1,11040
M,F,60000,0,0,Partial College,Skilled Manual,1,2,1,11041
M,F,70000,0,0,Partial College,Skilled Manual,1,2,1,11042
M,M,60000,0,0,Partial College,Skilled Manual,1,2,0,11043
M,M,20000,2,1,Partial High School,Clerical,1,2,1,11044
S,M,30000,3,0,High School,Skilled Manual,0,2,0,11045
M,F,30000,3,0,High School,Skilled Manual,1,2,1,11046
M,F,30000,3,0,High School,Skilled Manual,0,2,1,11047
M,M,30000,3,0,High School,Skilled Manual,1,2,1,11048
S,F,40000,0,0,Partial High School,Clerical,1,2,0,11049
M,M,30000,3,0,High School,Skilled Manual,1,2,1,11050
S,M,30000,3,0,High School,Skilled Manual,0,2,0,11051
S,F,40000,2,0,Partial College,Clerical,0,2,1,11052
M,F,60000,0,0,Partial College,Skilled Manual,0,2,1,11053
M,F,40000,2,0,Partial College,Skilled Manual,1,2,1,11054
M,M,40000,2,0,Partial College,Skilled Manual,1,2,1,11055
M,F,40000,3,0,Partial College,Skilled Manual,1,2,1,11056
M,M,70000,2,0,Graduate Degree,Management,1,2,1,11057
M,M,80000,2,0,Partial College,Skilled Manual,1,2,1,11058
S,F,80000,2,0,Partial College,Skilled Manual,1,2,0,11059
M,M,80000,2,0,Partial College,Skilled Manual,1,2,1,11060
M,M,80000,2,0,Partial College,Skilled Manual,1,2,1,11061
M,M,40000,0,0,High School,Skilled Manual,1,2,1,11062
S,F,40000,0,0,High School,Skilled Manual,1,2,1,11063
M,M,40000,0,0,High School,Skilled Manual,1,2,1,11064
M,F,60000,0,0,Partial College,Skilled Manual,0,2,0,11065
M,F,70000,0,0,Partial College,Professional,1,2,0,11066
S,M,60000,0,0,Partial College,Professional,1,2,0,11067
S,F,80000,2,0,High School,Skilled Manual,1,2,0,11068
S,F,80000,2,0,High School,Skilled Manual,0,2,1,11069
M,M,80000,2,0,High School,Skilled Manual,1,2,1,11070
S,F,80000,2,0,High School,Skilled Manual,1,2,0,11071
S,F,80000,2,0,High School,Skilled Manual,0,2,1,11072
S,F,70000,2,0,High School,Skilled Manual,1,2,0,11073
S,M,70000,2,0,High School,Skilled Manual,1,2,0,11074
S,F,80000,2,0,High School,Professional,1,2,1,11075
S,M,80000,2,0,High School,Professional,1,2,1,11076
S,F,80000,2,0,High School,Professional,0,2,1,11077
S,F,40000,0,0,High School,Professional,0,2,0,11078
S,M,160000,0,0,Graduate Degree,Management,1,2,0,11079
M,M,170000,0,0,Graduate Degree,Management,1,2,1,11080
M,F,120000,2,2,Bachelors,Management,1,3,0,11081
S,F,130000,0,1,Graduate Degree,Management,0,3,1,11082
M,F,130000,0,1,Graduate Degree,Management,1,3,1,11083
S,M,80000,2,0,Partial High School,Skilled Manual,0,2,1,11084
S,F,60000,2,0,High School,Professional,0,2,0,11085
M,M,70000,2,1,Partial College,Professional,1,0,0,11086
M,F,70000,3,2,Partial College,Professional,0,0,0,11087
M,M,80000,2,1,Bachelors,Management,1,0,1,11088
S,F,80000,2,1,Bachelors,Management,1,1,1,11089
S,M,90000,2,0,Partial College,Professional,1,1,1,11090
M,M,90000,2,0,Partial College,Professional,1,1,0,11091
M,F,90000,2,2,Bachelors,Professional,1,0,1,11092
M,F,100000,0,0,Graduate Degree,Management,1,0,1,11093
S,M,70000,1,0,Partial College,Skilled Manual,0,1,0,11094
S,M,70000,1,0,Partial College,Skilled Manual,1,1,1,11095
M,M,60000,1,0,Bachelors,Professional,1,1,1,11096
M,M,60000,1,0,Partial College,Skilled Manual,1,1,1,11097
S,F,60000,1,0,Partial College,Skilled Manual,0,1,0,11098
M,M,60000,1,0,Bachelors,Professional,1,1,1,11099
S,F,60000,1,0,Partial College,Skilled Manual,1,1,1,11100
S,F,70000,0,0,Bachelors,Professional,0,1,1,11101
S,F,80000,5,5,Bachelors,Professional,1,4,0,11102
S,F,70000,0,0,Bachelors,Professional,1,1,1,11103
M,M,70000,0,0,Bachelors,Professional,0,1,1,11104
S,F,70000,0,0,Bachelors,Professional,0,1,1,11105
S,M,70000,0,0,Bachelors,Professional,0,1,1,11106
M,F,90000,1,0,Bachelors,Professional,1,1,1,11107
S,F,70000,0,0,Bachelors,Professional,0,2,1,11108
S,M,70000,0,0,Bachelors,Professional,0,2,1,11109
M,M,60000,1,0,Partial College,Skilled Manual,1,1,1,11110
M,F,60000,1,0,Partial College,Skilled Manual,1,1,1,11111
M,F,60000,1,0,Partial College,Skilled Manual,1,1,1,11112
M,M,70000,5,4,Bachelors,Professional,1,2,0,11113
S,F,70000,5,4,Partial College,Skilled Manual,1,2,0,11114
M,M,70000,5,4,Partial College,Skilled Manual,1,2,0,11115
M,M,70000,5,4,Partial College,Skilled Manual,1,2,0,11116
M,F,70000,5,4,Partial College,Skilled Manual,1,3,1,11117
S,M,80000,1,0,Partial College,Skilled Manual,0,1,0,11118
S,M,30000,2,0,Partial College,Clerical,0,2,0,11119
S,F,40000,2,0,Bachelors,Management,1,1,1,11120
M,M,70000,5,4,Partial College,Skilled Manual,1,3,0,11121
M,M,70000,5,4,Partial College,Skilled Manual,1,3,0,11122
M,M,70000,5,4,Partial College,Skilled Manual,1,3,0,11123
S,M,80000,1,0,Partial College,Skilled Manual,1,1,1,11124
S,F,70000,1,0,Partial College,Skilled Manual,1,1,0,11125
M,M,10000,2,1,High School,Skilled Manual,0,2,1,11126
M,F,40000,0,0,High School,Skilled Manual,1,1,0,11127
M,F,40000,0,0,High School,Skilled Manual,1,1,0,11128
S,F,40000,0,0,High School,Skilled Manual,1,1,1,11129
M,F,30000,0,0,High School,Skilled Manual,1,2,0,11130
M,F,30000,0,0,High School,Skilled Manual,0,2,0,11131
S,F,30000,0,0,High School,Skilled Manual,0,2,1,11132
S,F,30000,0,0,Partial High School,Clerical,0,2,0,11133
S,M,10000,5,0,High School,Skilled Manual,1,2,1,11134
S,M,30000,0,0,Partial High School,Clerical,0,2,1,11135
S,F,40000,0,0,High School,Skilled Manual,0,2,1,11136
M,F,40000,0,0,High School,Skilled Manual,1,2,0,11137
M,F,40000,0,0,High School,Skilled Manual,0,2,0,11138
S,F,30000,2,0,Partial College,Clerical,0,2,0,11139
S,M,30000,0,0,Partial High School,Clerical,0,2,0,11140
M,F,40000,0,0,High School,Skilled Manual,0,2,0,11141
S,M,40000,0,0,High School,Skilled Manual,0,2,0,11142
M,M,40000,0,0,High School,Skilled Manual,1,2,0,11143
S,M,40000,0,0,High School,Skilled Manual,0,2,1,11144
S,F,40000,0,0,High School,Skilled Manual,0,2,1,11145
S,F,40000,2,0,Bachelors,Management,1,2,0,11146
M,M,60000,2,0,Graduate Degree,Management,1,1,1,11147
M,M,40000,2,0,Bachelors,Management,1,2,0,11148
M,M,40000,2,0,Bachelors,Management,1,2,0,11149
S,M,40000,2,0,Bachelors,Management,1,2,0,11150
S,F,60000,2,0,Graduate Degree,Management,0,1,1,11151
S,M,40000,0,0,High School,Skilled Manual,1,2,1,11152
M,F,40000,0,0,High School,Skilled Manual,1,2,0,11153
S,F,40000,0,0,Partial College,Skilled Manual,1,1,1,11154
S,M,40000,0,0,Partial College,Skilled Manual,0,1,1,11155
S,F,40000,0,0,Partial College,Skilled Manual,0,1,1,11156
M,F,40000,0,0,High School,Skilled Manual,1,2,0,11157
S,M,40000,0,0,High School,Skilled Manual,1,2,1,11158
S,F,40000,0,0,High School,Skilled Manual,0,2,0,11159
S,M,40000,0,0,Partial College,Skilled Manual,0,1,1,11160
S,F,40000,0,0,Partial College,Skilled Manual,0,1,0,11161
S,M,40000,0,0,Partial College,Skilled Manual,1,1,1,11162
M,M,40000,0,0,Partial College,Skilled Manual,1,1,0,11163
S,M,40000,0,0,Partial College,Skilled Manual,0,1,0,11164
M,F,60000,0,0,Partial College,Skilled Manual,0,1,0,11165
S,F,70000,0,0,Partial College,Skilled Manual,0,2,0,11166
S,F,80000,0,0,Bachelors,Management,0,1,1,11167
S,M,80000,0,0,Bachelors,Management,0,1,1,11168
M,M,90000,4,4,Bachelors,Management,1,1,0,11169
M,F,90000,4,4,Bachelors,Management,1,1,0,11170
S,M,100000,1,0,Bachelors,Management,1,2,1,11171
M,F,100000,1,0,Bachelors,Management,1,2,0,11172
S,F,110000,0,0,Graduate Degree,Management,0,4,0,11173
M,M,110000,0,1,Graduate Degree,Management,1,0,0,11174
S,M,70000,0,0,Partial College,Skilled Manual,1,2,1,11175
M,M,90000,4,4,Bachelors,Management,1,1,0,11176
M,M,110000,2,4,Graduate Degree,Management,1,2,0,11177
M,M,100000,2,3,Graduate Degree,Management,1,3,0,11178
M,F,120000,2,4,Graduate Degree,Management,1,3,0,11179
M,F,160000,1,3,Bachelors,Management,1,4,0,11180
M,M,170000,2,3,Graduate Degree,Management,1,2,0,11181
S,F,70000,4,0,Bachelors,Management,1,2,0,11182
S,F,70000,4,0,Bachelors,Management,1,2,0,11183
S,F,70000,4,0,Bachelors,Management,1,2,0,11184
S,F,70000,4,0,Bachelors,Management,1,2,0,11185
S,F,70000,4,0,Bachelors,Management,1,2,0,11186
M,F,60000,4,0,Graduate Degree,Management,1,2,0,11187
M,F,60000,4,0,Graduate Degree,Management,0,2,0,11188
S,M,60000,4,0,Graduate Degree,Management,1,2,1,11189
M,M,70000,5,0,Bachelors,Management,1,2,0,11190
S,F,70000,5,0,Bachelors,Management,1,3,1,11191
M,M,60000,4,0,Bachelors,Management,1,2,0,11192
M,M,60000,4,0,Bachelors,Management,1,2,0,11193
M,F,60000,4,0,Bachelors,Management,1,2,0,11194
M,F,60000,5,0,Bachelors,Management,1,3,0,11195
M,M,60000,5,0,Bachelors,Management,1,3,0,11196
M,F,70000,3,1,Bachelors,Management,0,1,0,11197
S,F,70000,4,1,Bachelors,Management,1,1,0,11198
M,F,70000,4,1,Bachelors,Management,1,1,0,11199
M,M,70000,4,1,Bachelors,Management,1,1,0,11200
M,F,70000,4,1,Bachelors,Management,1,1,0,11201
M,F,80000,5,0,Bachelors,Management,0,2,0,11202
M,M,40000,2,1,High School,Professional,1,2,0,11203
M,F,40000,2,1,High School,Professional,1,2,0,11204
M,F,40000,2,1,High School,Professional,1,2,0,11205
M,M,60000,2,1,Partial College,Professional,1,1,0,11206
S,F,60000,2,1,Partial College,Professional,1,1,0,11207
M,F,60000,2,1,Bachelors,Management,1,0,0,11208
M,F,60000,2,1,Bachelors,Management,1,0,0,11209
M,M,70000,4,1,Partial College,Professional,1,2,0,11210
M,F,40000,2,1,High School,Professional,1,2,0,11211
M,F,40000,2,1,High School,Professional,1,2,0,11212
S,F,60000,2,1,Partial College,Professional,1,2,0,11213
